miRNA,Target gene,Gene id,PMID,Source,RadiationDB_target gene_annotation
hsa-miR-200c-3p,RASSF2,9770,20005803,miRTarBase,-
hsa-miR-200c-3p,HOXB5,3215,20005803,miRTarBase,-
hsa-miR-200c-3p,RIN2,54453,20005803,miRTarBase,Prediction
hsa-miR-200c-3p,KLF11,8462,20005803,miRTarBase,-
hsa-miR-200c-3p,SEPTIN7,989,20005803,miRTarBase,-
hsa-miR-200c-3p,SHC1,6464,20005803,miRTarBase,-
hsa-miR-200c-3p,MYB,4602,22101269,miRTarBase,Experiment
hsa-miR-200c-3p,ETS1,2113,22735571,miRTarBase,-
hsa-miR-200c-3p,DUSP1,1843,27696308,miRTarBase,Experiment
hsa-miR-200c-3p,USP25,29761,24997798,miRTarBase,-
hsa-miR-200c-3p,EFNA1,1942,23065816,miRTarBase,-
hsa-miR-200c-3p,RND3,390,23821457,miRTarBase,Prediction
hsa-miR-200c-3p,DNMT3A,1788,23995857//27498672,miRTarBase,-
hsa-miR-200c-3p,DNMT3B,1789,23995857,miRTarBase,Experiment
hsa-miR-200c-3p,SP1,6667,23995857,miRTarBase,Experiment
hsa-miR-200c-3p,CFL2,1073,23497265,miRTarBase,Experiment
hsa-miR-200c-3p,CDH11,1009,23497265,miRTarBase,-
hsa-miR-200c-3p,SEC23A,10484,23497265,miRTarBase,-
hsa-miR-200c-3p,KDR,3791,24205206,miRTarBase,Experiment
hsa-miR-200c-3p,HFE,3077,23708087,miRTarBase,-
hsa-miR-200c-3p,DLC1,10395,23708087,miRTarBase,-
hsa-miR-200c-3p,ATRX,546,23708087,miRTarBase,-
hsa-miR-200c-3p,ZNF217,7764,24615544//27090737,miRTarBase,-
hsa-miR-200c-3p,BTC,685,24762440,miRTarBase,-
hsa-miR-200c-3p,ZFPM1,161882,24762440,miRTarBase,-
hsa-miR-200c-3p,PIN1,5300,24786790,miRTarBase,-
hsa-miR-200c-3p,KRAS,3845,24368337//26392416,miRTarBase,Experiment
hsa-miR-200c-3p,NOTCH1,4851,23955600//26400206,miRTarBase,Experiment
hsa-miR-200c-3p,GATA4,2626,24365599,miRTarBase,-
hsa-miR-200c-3p,SUZ12,23512,24169343,miRTarBase,-
hsa-miR-200c-3p,ROCK2,9475,24169343,miRTarBase,Experiment
hsa-miR-200c-3p,UBQLN1,29979,25044403,miRTarBase,-
hsa-miR-200c-3p,E2F3,1871,25017995,miRTarBase,-
hsa-miR-200c-3p,MALAT1,378938,27693631//26461224,miRTarBase,Experiment
hsa-miR-200c-3p,CDK2,1017,26248649,miRTarBase,Experiment
hsa-miR-200c-3p,PRKCZ,5590,28218902,miRTarBase,-
hsa-miR-200c-3p,NOS3,4846,27917915,miRTarBase,Prediction
hsa-miR-200c-3p,SIRT1,23411,27917915,miRTarBase,Experiment
hsa-miR-200c-3p,FOXO1,2308,27917915,miRTarBase,-
hsa-miR-200c-3p,PDCD10,11235,26400441,miRTarBase,-
hsa-miR-200c-3p,ADAM12,8038,25886595,miRTarBase,Experiment
hsa-miR-200c-3p,PTEN,5728,28008308//28029649,miRTarBase,Experiment
hsa-miR-200c-3p,LEPR,3953,25840984,miRTarBase,-
hsa-miR-200c-3p,CRKL,1399,26079153//26728244,miRTarBase,-
hsa-miR-200c-3p,MYLK,4638,26334100,miRTarBase,-
hsa-miR-200c-3p,SH3PXD2A,9644,26334100,miRTarBase,-
hsa-miR-200c-3p,DNAJC3,5611,25985365,miRTarBase,-
hsa-miR-200c-3p,JAZF1,221895,25985365,miRTarBase,-
hsa-miR-200c-3p,RPS6KB1,6198,25985365,miRTarBase,Experiment
hsa-miR-200c-3p,SLC1A2,6506,27995756,miRTarBase,-
hsa-miR-203a-3p,UVRAG,7405,22421148,miRTarBase,Experiment
hsa-miR-203a-3p,ABL1,25,18538733//23462723//23968727,miRTarBase,Prediction
hsa-miR-203a-3p,TP63,8626,18311128//18483491//24247238,miRTarBase,Experiment
hsa-miR-203a-3p,ABCE1,6059,19843643,miRTarBase,-
hsa-miR-203a-3p,CDK6,1021,19843643//23462723,miRTarBase,Experiment
hsa-miR-203a-3p,SOCS3,9021,17622355//22207897,miRTarBase,Experiment
hsa-miR-203a-3p,BCL2L2,599,21205209//24219989//27142767//26599571,miRTarBase,-
hsa-miR-203a-3p,GDAP1,54332,20827281,miRTarBase,-
hsa-miR-203a-3p,EDNRA,1909,20827281,miRTarBase,-
hsa-miR-203a-3p,EYA4,2070,20827281,miRTarBase,-
hsa-miR-203a-3p,ZEB2,9839,21159887,miRTarBase,Experiment
hsa-miR-203a-3p,BMI1,648,21159887//21840484//24219349//25475727//26847520,miRTarBase,Experiment
hsa-miR-203a-3p,RUNX2,860,21159887//25634212,miRTarBase,-
hsa-miR-203a-3p,SMAD4,4089,21159887,miRTarBase,Experiment
hsa-miR-203a-3p,E2F1,1869,21159887,miRTarBase,Experiment
hsa-miR-203a-3p,MMP10,4319,21159887,miRTarBase,-
hsa-miR-203a-3p,DLX5,1749,21159887//28025541,miRTarBase,-
hsa-miR-203a-3p,AKT2,208,21354697,miRTarBase,-
hsa-miR-203a-3p,BIRC5,332,22306317//22886454//22713668//23073851//26847520,miRTarBase,Experiment
hsa-miR-203a-3p,E2F3,1871,22354972,miRTarBase,-
hsa-miR-203a-3p,ZNF148,7707,22354972,miRTarBase,-
hsa-miR-203a-3p,CREB1,1385,21707582,miRTarBase,Experiment
hsa-miR-203a-3p,TJP2,9414,22101077,miRTarBase,-
hsa-miR-203a-3p,SOCS6,9306,22917968,miRTarBase,Experiment
hsa-miR-203a-3p,TNF,7124,22917968,miRTarBase,Experiment
hsa-miR-203a-3p,IL24,11009,22917968,miRTarBase,Experiment
hsa-miR-203a-3p,SNAI2,6591,23354685//26194864//25871397//28269747,miRTarBase,Experiment
hsa-miR-203a-3p,CBLL1,79872,23285092,miRTarBase,-
hsa-miR-203a-3p,MYD88,4615,23522925,miRTarBase,-
hsa-miR-203a-3p,LIFR,3977,24247238,miRTarBase,-
hsa-miR-203a-3p,LASP1,3927,22940702//22713668,miRTarBase,-
hsa-miR-203a-3p,JUN,3725,23552555,miRTarBase,Experiment
hsa-miR-203a-3p,VEGFA,7422,23867971,miRTarBase,Experiment
hsa-miR-203a-3p,ASAP1,50807,24682952,miRTarBase,-
hsa-miR-203a-3p,CAV1,857,22421148,miRTarBase,Experiment
hsa-miR-203a-3p,SRC,6714,23462723//23790975,miRTarBase,Experiment
hsa-miR-203a-3p,TCF4,6925,26493444,miRTarBase,Prediction
hsa-miR-203a-3p,RAN,5901,23190607//24154605//24001611,miRTarBase,-
hsa-miR-203a-3p,RAPH1,65059,23190607,miRTarBase,-
hsa-miR-203a-3p,CASK,8573,25373785,miRTarBase,-
hsa-miR-203a-3p,PLD2,5338,24270883//26787840,miRTarBase,-
hsa-miR-203a-3p,KIF5B,3799,23884313,miRTarBase,-
hsa-miR-203a-3p,ATM,472,24145123//27542403,miRTarBase,Experiment
hsa-miR-203a-3p,TYMS,7298,25482885,miRTarBase,Experiment
hsa-miR-203a-3p,PIK3CA,5290,24996183//26617776,miRTarBase,Experiment
hsa-miR-203a-3p,IFIT1,3434,23785202,miRTarBase,Prediction
hsa-miR-203a-3p,KIF2A,3796,23884313,miRTarBase,Experiment
hsa-miR-203a-3p,SNAI1,6615,23447531,miRTarBase,Experiment
hsa-miR-203a-3p,LIN28B,389421,28218277,miRTarBase,Experiment
hsa-miR-203a-3p,WIF1,11197,25486432,miRTarBase,-
hsa-miR-203a-3p,BANF1,8815,25658920,miRTarBase,-
hsa-miR-203a-3p,TBK1,29110,26584294,miRTarBase,-
hsa-miR-203a-3p,HOXD3,3232,27244890,miRTarBase,-
hsa-miR-203a-3p,NR2C2,7182,26617776,miRTarBase,Experiment
hsa-miR-203a-3p,STAT1,6772,27705947,miRTarBase,Experiment
hsa-miR-203a-3p,CDH1,999,28269747,miRTarBase,Experiment
hsa-miR-203a-3p,RAP1A,5906,27780730,miRTarBase,-
hsa-miR-203a-3p,RAB22A,57403,26382657,miRTarBase,-
hsa-miR-203a-3p,FGF2,2247,25890121,miRTarBase,-
hsa-miR-204-5p,MEIS1,4211,18308931,miRTarBase,-
hsa-miR-204-5p,HOXA10,3206,18308931,miRTarBase,Experiment
hsa-miR-204-5p,BCL2,596,19074899//22892391//23152059//24960059//28280358//27519795,miRTarBase,Experiment
hsa-miR-204-5p,TGFBR2,7048,20056717,miRTarBase,-
hsa-miR-204-5p,SNAI2,6591,20056717,miRTarBase,Experiment
hsa-miR-204-5p,MEIS2,4212,20713703,miRTarBase,-
hsa-miR-204-5p,SNAI1,6615,26729198,miRTarBase,Experiment
hsa-miR-204-5p,SPDEF,25803,18922924,miRTarBase,-
hsa-miR-204-5p,THRB,7068,20691260,miRTarBase,-
hsa-miR-204-5p,AP1S2,8905,21282569,miRTarBase,-
hsa-miR-204-5p,BCL2L2,599,21282569,miRTarBase,-
hsa-miR-204-5p,BIRC2,329,21282569,miRTarBase,Experiment
hsa-miR-204-5p,EDEM1,9695,21282569,miRTarBase,-
hsa-miR-204-5p,EZR,7430,21282569//21416062,miRTarBase,-
hsa-miR-204-5p,FZD1,8321,21282569,miRTarBase,-
hsa-miR-204-5p,IL11,3589,22629385,miRTarBase,Experiment
hsa-miR-204-5p,M6PR,4074,21282569,miRTarBase,-
hsa-miR-204-5p,RAB22A,57403,21282569//22523078//25429829,miRTarBase,-
hsa-miR-204-5p,RAB40B,10966,21282569//25790780,miRTarBase,-
hsa-miR-204-5p,SERINC3,10955,21282569,miRTarBase,-
hsa-miR-204-5p,SERP1,27230,21282569,miRTarBase,-
hsa-miR-204-5p,TCF12,6938,21282569//22523078,miRTarBase,-
hsa-miR-204-5p,TCF4,6925,21282569,miRTarBase,Prediction
hsa-miR-204-5p,FOXC1,2296,21400511,miRTarBase,-
hsa-miR-204-5p,MAP1LC3B,81631,22516261,miRTarBase,-
hsa-miR-204-5p,CREB5,9586,22523078,miRTarBase,Experiment
hsa-miR-204-5p,ELOVL6,79071,22523078,miRTarBase,-
hsa-miR-204-5p,RUNX2,860,22871591//25806689,miRTarBase,-
hsa-miR-204-5p,SOX4,6659,23204229//24984017//26323722//28133610,miRTarBase,-
hsa-miR-204-5p,EFNB2,1948,23204229,miRTarBase,-
hsa-miR-204-5p,ALPL,249,23472141,miRTarBase,-
hsa-miR-204-5p,SOST,50964,23472141,miRTarBase,-
hsa-miR-204-5p,HMGA2,8091,27095441//26406941,miRTarBase,-
hsa-miR-204-5p,MMP9,4318,28280358,miRTarBase,Experiment
hsa-miR-204-5p,SMAD4,4089,23221074,miRTarBase,Experiment
hsa-miR-204-5p,SIRT1,23411,23768087//27156885//25998694//27748572,miRTarBase,Experiment
hsa-miR-204-5p,NTRK2,4915,22892391//24321270,miRTarBase,-
hsa-miR-204-5p,USP47,55031,25429829,miRTarBase,-
hsa-miR-204-5p,ANKRD13A,88455,23620728,miRTarBase,-
hsa-miR-204-5p,CDC42,998,24613926,miRTarBase,-
hsa-miR-204-5p,TMPRSS3,64699,24924414,miRTarBase,-
hsa-miR-204-5p,CDH1,999,24280681,miRTarBase,Experiment
hsa-miR-204-5p,VIM,7431,24280681,miRTarBase,-
hsa-miR-204-5p,TXNIP,10628,27121770,miRTarBase,Prediction
hsa-miR-204-5p,ITPR1,3708,24960059,miRTarBase,Prediction
hsa-miR-204-5p,BDNF,627,23285024//25962115,miRTarBase,-
hsa-miR-204-5p,TRPM3,80036,25517751,miRTarBase,-
hsa-miR-204-5p,SIX1,6495,25157435,miRTarBase,Experiment
hsa-miR-204-5p,HMX1,3166,24641951,miRTarBase,-
hsa-miR-204-5p,MAP2K1,5604,24960059,miRTarBase,Experiment
hsa-miR-204-5p,UCA1,652995,27046651,miRTarBase,Experiment
hsa-miR-204-5p,CREB1,1385,27046651,miRTarBase,Experiment
hsa-miR-204-5p,IGFBP2,3485,27487563,miRTarBase,-
hsa-miR-204-5p,MX1,4599,27121770,miRTarBase,Prediction
hsa-miR-204-5p,CXCR4,7852,27470356,miRTarBase,Experiment
hsa-miR-204-5p,MALAT1,378938,27294002,miRTarBase,Experiment
hsa-miR-204-5p,FOXM1,2305,26722467,miRTarBase,Experiment
hsa-miR-204-5p,DVL3,1857,25847080,miRTarBase,-
hsa-miR-204-5p,CYBB,1536,28235791,miRTarBase,-
hsa-miR-204-5p,JAK2,3717,27323056,miRTarBase,-
hsa-miR-205-5p,LRP1,4035,19665999,miRTarBase,-
hsa-miR-205-5p,ZEB1,6935,18376396//22555458//23474752//27082508,miRTarBase,Experiment
hsa-miR-205-5p,INPPL1,3636,19033458,miRTarBase,Experiment
hsa-miR-205-5p,MED1,5469,20065103//22869146,miRTarBase,-
hsa-miR-205-5p,E2F5,1875,21454583,miRTarBase,-
hsa-miR-205-5p,E2F1,1869,22578566//21454583//23629002,miRTarBase,Experiment
hsa-miR-205-5p,ERBB3,2065,19238171//20065103//19276373//20864407//23519125,miRTarBase,Experiment
hsa-miR-205-5p,ZEB2,9839,18376396//23474752,miRTarBase,Experiment
hsa-miR-205-5p,VEGFA,7422,19238171//22159356//25172656//26396534,miRTarBase,Experiment
hsa-miR-205-5p,IL24,11009,20737563//23212344,miRTarBase,Experiment
hsa-miR-205-5p,IL32,9235,20737563,miRTarBase,Experiment
hsa-miR-205-5p,EGLN2,112398,22859986,miRTarBase,-
hsa-miR-205-5p,TP73,7161,22871739,miRTarBase,Experiment
hsa-miR-205-5p,CCN1,3491,23056551,miRTarBase,-
hsa-miR-205-5p,CCN2,1490,23056551,miRTarBase,Prediction
hsa-miR-205-5p,ERBB2,2064,21787752//26181203,miRTarBase,Experiment
hsa-miR-205-5p,LAMC1,3915,22578566,miRTarBase,-
hsa-miR-205-5p,LRRK2,120892,23125283,miRTarBase,-
hsa-miR-205-5p,YES1,7525,21330408,miRTarBase,-
hsa-miR-205-5p,SRC,6714,21330408,miRTarBase,Experiment
hsa-miR-205-5p,BCL2,596,24297308//23612742//26397843,miRTarBase,Experiment
hsa-miR-205-5p,SMAD1,4086,23800974,miRTarBase,-
hsa-miR-205-5p,SMAD4,4089,23800974,miRTarBase,Experiment
hsa-miR-205-5p,YY1,7528,24763883,miRTarBase,Experiment
hsa-miR-205-5p,PTPRM,5797,23497265,miRTarBase,-
hsa-miR-205-5p,AR,367,23571738,miRTarBase,Experiment
hsa-miR-205-5p,BCL6,604,22870299,miRTarBase,-
hsa-miR-205-5p,ACSL4,2182,24576478,miRTarBase,Experiment
hsa-miR-205-5p,ITGA5,3678,24434435,miRTarBase,-
hsa-miR-205-5p,ACSL1,2180,24462768,miRTarBase,-
hsa-miR-205-5p,HMGB3,3149,24098490,miRTarBase,Experiment
hsa-miR-205-5p,PTEN,5728,24084898//23856247//23564023//25973003//27974696,miRTarBase,Experiment
hsa-miR-205-5p,ESRRG,2104,23589079,miRTarBase,-
hsa-miR-205-5p,PHLPP2,23035,23856247//25977341,miRTarBase,-
hsa-miR-205-5p,KCNJ10,3766,23950153,miRTarBase,-
hsa-miR-205-5p,EZR,7430,25597268,miRTarBase,-
hsa-miR-205-5p,LMNA,4000,25597268,miRTarBase,-
hsa-miR-205-5p,RUNX2,860,27035764,miRTarBase,-
hsa-miR-205-5p,HMGB1,3146,26183718,miRTarBase,Experiment
hsa-miR-205-5p,PRDX2,7001,26633009,miRTarBase,Experiment
hsa-miR-205-5p,SMAD2,4087,27574009,miRTarBase,-
hsa-miR-205-5p,UVRAG,7405,26181203,miRTarBase,Experiment
hsa-miR-205-5p,CENPF,1063,26059417,miRTarBase,-
hsa-miR-205-5p,SATB2,23314,25961955,miRTarBase,-
hsa-miR-205-5p,CCNJ,54619,26469956,miRTarBase,-
hsa-miR-206,MET,4233,19620785//19710019//20388878//26186594,miRTarBase,Experiment
hsa-miR-206,NOTCH3,4854,19723635//25607234,miRTarBase,-
hsa-miR-206,ESR1,2099,18593897//17312270//19684618,miRTarBase,Experiment
hsa-miR-206,UTRN,7402,17030984,miRTarBase,Experiment
hsa-miR-206,FSTL1,11167,17030984,miRTarBase,-
hsa-miR-206,TAC1,6863,17855557,miRTarBase,-
hsa-miR-206,PAX3,5077,20956382//22385659//25653235,miRTarBase,-
hsa-miR-206,CCND2,894,23348698//23466356,miRTarBase,Prediction
hsa-miR-206,GJA1,2697,17062625//28342807,miRTarBase,-
hsa-miR-206,CDK4,1019,24289491,miRTarBase,Experiment
hsa-miR-206,ACTL6A,86,23728344,miRTarBase,-
hsa-miR-206,NR1H3,10062,24603323,miRTarBase,-
hsa-miR-206,NRP1,8829,27014911,miRTarBase,Experiment
hsa-miR-206,GPD2,2820,23921124,miRTarBase,-
hsa-miR-206,TKT,7086,23921124,miRTarBase,-
hsa-miR-206,PGD,5226,23921124,miRTarBase,-
hsa-miR-206,G6PD,2539,23921124,miRTarBase,-
hsa-miR-206,VAMP2,6844,25481410,miRTarBase,-
hsa-miR-206,KRAS,3845,25246801//25500542,miRTarBase,Experiment
hsa-miR-206,SFRP1,6422,27043663,miRTarBase,-
hsa-miR-206,CCND1,595,25111862//24107628,miRTarBase,Experiment
hsa-miR-206,ANXA2,302,25500542,miRTarBase,Experiment
hsa-miR-206,NR4A2,4929,25452104,miRTarBase,-
hsa-miR-206,SMAD2,4087,27014911,miRTarBase,-
hsa-miR-206,TWF1,5756,27435395,miRTarBase,Prediction
hsa-miR-206,TBX3,6926,27100732,miRTarBase,-
hsa-miR-206,AKT1,207,28386239,miRTarBase,Experiment
hsa-miR-206,TWIST1,7291,26272918,miRTarBase,Experiment
hsa-miR-206,SOX9,6662,26309565,miRTarBase,-
hsa-miR-206,OTX2,5015,25859932,miRTarBase,-
hsa-miR-206,CCL2,6347,27541266,miRTarBase,-
hsa-miR-206,VEGFA,7422,27541266,miRTarBase,Experiment
hsa-miR-206,SOD1,6647,25816284,miRTarBase,Prediction
hsa-miR-20a-5p,HIF1A,3091,18632605//23911400,miRTarBase,Experiment
hsa-miR-20a-5p,TCEAL1,9338,23059786,miRTarBase,Experiment
hsa-miR-20a-5p,CCND1,595,18695042//21283765//23836497,miRTarBase,Experiment
hsa-miR-20a-5p,E2F1,1869,19110058//18025036//18836483//15944709//21283765//23868977//27282946,miRTarBase,Experiment
hsa-miR-20a-5p,BMPR2,659,19390056,miRTarBase,-
hsa-miR-20a-5p,CDKN1A,1026,20190813//18941111//21283765//23333058,miRTarBase,Experiment
hsa-miR-20a-5p,TGFBR2,7048,20940405//16461460//27080303//27508097//26729221,miRTarBase,-
hsa-miR-20a-5p,MAP3K12,7786,19666108,miRTarBase,-
hsa-miR-20a-5p,BCL2,596,19666108,miRTarBase,Experiment
hsa-miR-20a-5p,MEF2D,4209,19666108,miRTarBase,Experiment
hsa-miR-20a-5p,PTEN,5728,21283765,miRTarBase,Experiment
hsa-miR-20a-5p,APP,351,19110058//20458444,miRTarBase,-
hsa-miR-20a-5p,RUNX1,861,17589498,miRTarBase,-
hsa-miR-20a-5p,VEGFA,7422,18320040,miRTarBase,Experiment
hsa-miR-20a-5p,BCL2L11,10018,27888798,miRTarBase,Experiment
hsa-miR-20a-5p,MYC,4609,18695042,miRTarBase,Experiment
hsa-miR-20a-5p,BNIP2,663,21242194,miRTarBase,-
hsa-miR-20a-5p,SMAD4,4089,27286257,miRTarBase,Experiment
hsa-miR-20a-5p,CCND2,894,21283765,miRTarBase,Prediction
hsa-miR-20a-5p,RB1,5925,21283765,miRTarBase,-
hsa-miR-20a-5p,RBL1,5933,21283765,miRTarBase,Experiment
hsa-miR-20a-5p,RBL2,5934,21283765,miRTarBase,-
hsa-miR-20a-5p,WEE1,7465,21283765,miRTarBase,Experiment
hsa-miR-20a-5p,IRF2,3660,21880628,miRTarBase,-
hsa-miR-20a-5p,KIT,3815,21880628,miRTarBase,-
hsa-miR-20a-5p,EGLN3,112399,22182733,miRTarBase,-
hsa-miR-20a-5p,PPARG,5468,21743293,miRTarBase,Experiment
hsa-miR-20a-5p,BAMBI,25805,21743293,miRTarBase,-
hsa-miR-20a-5p,CRIM1,51232,21743293,miRTarBase,-
hsa-miR-20a-5p,MAP2K3,5606,22696064,miRTarBase,-
hsa-miR-20a-5p,PURA,5813,22835829,miRTarBase,-
hsa-miR-20a-5p,ARHGAP12,94134,21751348,miRTarBase,-
hsa-miR-20a-5p,TSG101,7251,21751348,miRTarBase,-
hsa-miR-20a-5p,SIRPA,140885,23562609,miRTarBase,Prediction
hsa-miR-20a-5p,UBE2C,11065,25760688,miRTarBase,-
hsa-miR-20a-5p,STAT3,6774,23836497//23059786,miRTarBase,Experiment
hsa-miR-20a-5p,LIMK1,3984,24858712,miRTarBase,-
hsa-miR-20a-5p,PHLPP2,23035,22116552,miRTarBase,-
hsa-miR-20a-5p,GJA1,2697,22785209,miRTarBase,-
hsa-miR-20a-5p,DUSP2,1844,22648654,miRTarBase,-
hsa-miR-20a-5p,ITGB8,3696,23602254,miRTarBase,-
hsa-miR-20a-5p,SMAD7,4092,23665284,miRTarBase,-
hsa-miR-20a-5p,MAP3K5,4217,23087182,miRTarBase,-
hsa-miR-20a-5p,MCL1,4170,23594563,miRTarBase,Experiment
hsa-miR-20a-5p,TP53INP1,94241,23333058,miRTarBase,Experiment
hsa-miR-20a-5p,EGR2,1959,23924943,miRTarBase,-
hsa-miR-20a-5p,ABL2,27,24464651,miRTarBase,-
hsa-miR-20a-5p,ZFYVE9,9372,27508097//26729221,miRTarBase,-
hsa-miR-20a-5p,ATG16L1,55054,26165754,miRTarBase,-
hsa-miR-20a-5p,ANKH,56172,27142968,miRTarBase,-
hsa-miR-20a-5p,REST,5978,26996236,miRTarBase,-
hsa-miR-20a-5p,PRKG1,5592,25447536,miRTarBase,-
hsa-miR-20a-5p,RGS5,8490,23308108,miRTarBase,-
hsa-miR-20a-5p,ETV1,2115,23969726,miRTarBase,-
hsa-miR-20a-5p,EPAS1,2034,24194900,miRTarBase,Prediction
hsa-miR-20a-5p,FBXO31,79791,25115392,miRTarBase,-
hsa-miR-20a-5p,DNMT1,1786,23306545,miRTarBase,Experiment
hsa-miR-20a-5p,PKD1,5310,23344677,miRTarBase,-
hsa-miR-20a-5p,PKNOX1,5316,27123834,miRTarBase,-
hsa-miR-20a-5p,RUNX3,864,27748919,miRTarBase,Experiment
hsa-miR-20a-5p,RB1CC1,9821,26829385,miRTarBase,-
hsa-miR-20a-5p,NFKBIB,4793,26286834,miRTarBase,-
hsa-miR-20a-5p,KIF26B,55083,27499703,miRTarBase,-
hsa-miR-20a-5p,TIMP2,7077,24704830,miRTarBase,-
hsa-miR-20a-5p,Vegfa,22339,27080303,miRTarBase,-
hsa-miR-20a-5p,TGFBR1,7046,26729221,miRTarBase,-
hsa-miR-20a-5p,PTPRO,5800,27720936,miRTarBase,-
hsa-miR-20a-5p,PPP2R2A,5520,27720936,miRTarBase,-
hsa-miR-20a-5p,DAPK3,1613,26117336,miRTarBase,-
hsa-miR-211-5p,KCNMA1,3778,21072171,miRTarBase,-
hsa-miR-211-5p,CDH5,1003,22235338,miRTarBase,-
hsa-miR-211-5p,POU3F2,5454,21435193,miRTarBase,-
hsa-miR-211-5p,CREB5,9586,22523078,miRTarBase,Experiment
hsa-miR-211-5p,ELOVL6,79071,22523078,miRTarBase,-
hsa-miR-211-5p,TCF12,6938,22523078,miRTarBase,-
hsa-miR-211-5p,RAB22A,57403,22523078//24039954,miRTarBase,-
hsa-miR-211-5p,IL11,3589,22629385//24039954,miRTarBase,Experiment
hsa-miR-211-5p,TGFB1,7040,23726841,miRTarBase,Experiment
hsa-miR-211-5p,AP1S2,8905,24039954,miRTarBase,-
hsa-miR-211-5p,SERINC3,10955,24039954,miRTarBase,-
hsa-miR-211-5p,M6PR,4074,24039954,miRTarBase,-
hsa-miR-211-5p,IGFBP5,3488,24039954,miRTarBase,Experiment
hsa-miR-211-5p,PDE3A,5139,24039954,miRTarBase,-
hsa-miR-211-5p,SSRP1,6749,24039954,miRTarBase,-
hsa-miR-211-5p,TGFBR2,7048,24039954,miRTarBase,-
hsa-miR-211-5p,NFAT5,10725,24039954,miRTarBase,-
hsa-miR-211-5p,IGF2R,3482,24039954,miRTarBase,-
hsa-miR-211-5p,DDIT3,1649,24039954,miRTarBase,Prediction
hsa-miR-211-5p,TXNIP,10628,27121770,miRTarBase,Prediction
hsa-miR-211-5p,ITPR1,3708,24960059,miRTarBase,Prediction
hsa-miR-211-5p,SOX4,6659,26823713,miRTarBase,-
hsa-miR-211-5p,NUAK1,9891,23934065,miRTarBase,Prediction
hsa-miR-211-5p,HMX1,3166,24641951,miRTarBase,-
hsa-miR-211-5p,BCL2,596,24960059,miRTarBase,Experiment
hsa-miR-211-5p,MAP2K1,5604,24960059,miRTarBase,Experiment
hsa-miR-211-5p,MUC4,4585,27923652,miRTarBase,-
hsa-miR-211-5p,MX1,4599,27121770,miRTarBase,Prediction
hsa-miR-211-5p,SPARC,6678,27230656,miRTarBase,Experiment
hsa-miR-211-5p,CCND1,595,25889927,miRTarBase,Experiment
hsa-miR-211-5p,CDK6,1021,25889927,miRTarBase,Experiment
hsa-miR-211-5p,IL10RA,3587,26631117,miRTarBase,-
hsa-miR-211-5p,SNAI1,6615,28057716,miRTarBase,Experiment
hsa-miR-211-5p,SATB2,23314,25888635,miRTarBase,-
hsa-miR-212-3p,MECP2,4204,20020497//25766675,miRTarBase,-
hsa-miR-212-3p,TJP1,7082,18162065,miRTarBase,Prediction
hsa-miR-212-3p,PEA15,8682,20388802,miRTarBase,-
hsa-miR-212-3p,PTCH1,5727,22357618//24961235,miRTarBase,Experiment
hsa-miR-212-3p,RB1,5925,21329664,miRTarBase,-
hsa-miR-212-3p,KCNJ2,3759,22880819,miRTarBase,-
hsa-miR-212-3p,CCNA2,890,21329664,miRTarBase,Prediction
hsa-miR-212-3p,CCNB1,891,21329664,miRTarBase,Experiment
hsa-miR-212-3p,RBP2,5948,23922798//23794145,miRTarBase,-
hsa-miR-212-3p,MYC,4609,21053104,miRTarBase,Experiment
hsa-miR-212-3p,SOD2,6648,23583431,miRTarBase,Experiment
hsa-miR-212-3p,ACHE,43,23974008,miRTarBase,-
hsa-miR-212-3p,IRAK4,51135,23264652,miRTarBase,-
hsa-miR-212-3p,PXN,5829,26693054,miRTarBase,Experiment
hsa-miR-212-3p,RFXAP,5994,26337469,miRTarBase,-
hsa-miR-212-3p,SOX4,6659,26377202,miRTarBase,-
hsa-miR-212-3p,SOX11,6664,25766675,miRTarBase,-
hsa-miR-212-3p,ABCG2,9429,25766675,miRTarBase,Prediction
hsa-miR-212-3p,ADCY1,107,25766675,miRTarBase,-
hsa-miR-212-3p,SGK3,23678,25720694,miRTarBase,-
hsa-miR-212-3p,SMAD2,4087,25988335,miRTarBase,-
hsa-miR-214-3p,EZH2,2146,19818710//21828058//23727574//22962603//25085702,miRTarBase,Experiment
hsa-miR-214-3p,PTEN,5728,18199536//20548023//21228352//22502680//21688200//23834902//25361012//27339596,miRTarBase,Experiment
hsa-miR-214-3p,MAP2K3,5606,19859982,miRTarBase,-
hsa-miR-214-3p,MAPK8,5599,19859982,miRTarBase,-
hsa-miR-214-3p,POU4F2,5458,20609388,miRTarBase,-
hsa-miR-214-3p,PLXNB1,5364,21216304,miRTarBase,-
hsa-miR-214-3p,SRGAP1,57522,21276775,miRTarBase,Prediction
hsa-miR-214-3p,ING4,51147,21106054,miRTarBase,Experiment
hsa-miR-214-3p,XBP1,7494,22359598,miRTarBase,-
hsa-miR-214-3p,QKI,9444,22227154//27129236,miRTarBase,-
hsa-miR-214-3p,TWIST1,7291,22540680,miRTarBase,Experiment
hsa-miR-214-3p,GALNT7,51809,22399294,miRTarBase,-
hsa-miR-214-3p,TP53,7157,22927443//21217645,miRTarBase,Experiment
hsa-miR-214-3p,CTNNB1,1499,23068095//22962603//26807179,miRTarBase,Experiment
